,name,mkdocs_plugin,github_id,pypi_id,labels,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,description,projectrank,show,projectrank_placing,markdown_extension,trending,mkdocs_theme,extra_dependencies,license,gitlab_id,gitlab_url,created_at,fork_count,open_issue_count,closed_issue_count,star_count,release_count,updated_at,shadowed,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,pypi,bitbucket_id
156,Mkdocs-Addresses,mkdocs-addresses,,mkdocs-addresses,['plugin'],links-refs,https://gitlab.com/frederic-zinelli/mkdocs-addresses,,,,https://pypi.org/project/mkdocs-addresses,,,"Mkdocs plugin, building automatically the appropriate relative paths (to images, links, anchors, ...) using..",2,True,3.0,,,,,,frederic-zinelli/mkdocs-addresses,https://gitlab.com/frederic-zinelli/mkdocs-addresses,2023-07-13 16:32:15,0.0,1.0,,,0.0,2023-07-13 16:32:15.000000,,,,,,,
157,tooltipster-links,tooltipster-links,zachhannum/mkdocs-tooltipster-links-plugin,mkdocs-tooltipster-links-plugin,['plugin'],links-refs,{},31.0,31.0,,https://pypi.org/project/mkdocs-tooltipster-links-plugin,,,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
158,mkdocs-alias-plugin,alias,eddyluten/mkdocs-alias-plugin,mkdocs-alias-plugin,['plugin'],links-refs,{},40.0,40.0,6.0,https://pypi.org/project/mkdocs-alias-plugin,,,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
159,bibtex,bibtex,shyamd/mkdocs-bibtex,mkdocs-bibtex,['plugin'],links-refs,{},,,21.0,https://pypi.org/project/mkdocs-bibtex,,,,2,True,3.0,,,,,BSD-3-Clause-LBNL,,,,,,,,,,,,,,,,
160,MkDocs Backlinks Section Plugin,backlinks_section,six-two/mkdocs-backlinks-section-plugin,mkdocs-backlinks-section-plugin,['plugin'],links-refs,{},,,2.0,https://pypi.org/project/mkdocs-backlinks-section-plugin,3802.0,3802.0,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
161,mkpatcher,,ofek/mkpatcher,mkpatcher,['markdown'],markdown,{},12.0,12.0,,https://pypi.org/project/mkpatcher,,,,2,True,3.0,mkpatcher,,,,,,,,,,,,,,,,,,,,
162,MarkdownSuperscript,,jambonrose/markdown_superscript_extension,MarkdownSuperscript,['markdown'],markdown,{},47.0,47.0,2.0,https://pypi.org/project/MarkdownSuperscript,,,,2,True,3.0,superscript,,,,,,,,,,,,,,,,,,,,
163,MarkdownSubscript,,jambonrose/markdown_subscript_extension,MarkdownSubscript,['markdown'],markdown,{},59.0,59.0,2.0,https://pypi.org/project/MarkdownSubscript,,,,2,True,3.0,subscript,,,,,,,,,,,,,,,,,,,,
164,markdown-emdash,,czue/markdown-emdash,markdown-emdash,['markdown'],markdown,{},39.0,39.0,,https://pypi.org/project/markdown-emdash,,,,2,True,3.0,mdx_emdash,,,,,,,,,,,,,,,,,,,,
165,select-files,select-files,supcik/mkdocs-select-files,mkdocs-select-files,['plugin'],nav-pages,{},9.0,9.0,,https://pypi.org/project/mkdocs-select-files,70.0,70.0,Filter pages for assignments.,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
166,toc-sidebar,toc-sidebar,zachhannum/mkdocs-toc-sidebar-plugin,mkdocs-toc-sidebar-plugin,['plugin'],nav-pages,{},55.0,55.0,2.0,https://pypi.org/project/mkdocs-toc-sidebar-plugin,,,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
167,schema-reader,schema_reader,magicaljellybeans/mkdocs_schema_reader,mkdocs-schema-reader,['plugin'],nav-pages,{},,,3.0,https://pypi.org/project/mkdocs-schema-reader,,,,2,True,3.0,,,,,MIT,,,,,,,,,,,,,,,,
168,mkdocs-categories-plugin,categories,eddyluten/mkdocs-categories-plugin,mkdocs-categories-plugin,['plugin'],nav-pages,{},24.0,24.0,,https://pypi.org/project/mkdocs-categories-plugin,,,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
169,mkdocs-title-casing-plugin,title-casing,mattchristopher314/mkdocs-title-casing-plugin,mkdocs-title-casing-plugin,['plugin'],nav-pages,{},11.0,11.0,,https://pypi.org/project/mkdocs-title-casing-plugin,,,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
170,mkdocs-live-edit-plugin,live-edit,eddyluten/mkdocs-live-edit-plugin,mkdocs-live-edit-plugin,['plugin'],nav-pages,{},19.0,19.0,6.0,https://pypi.org/project/mkdocs-live-edit-plugin,,,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
171,mkdocs-breadcrumbs-plugin,mkdocs-breadcrumbs-plugin,mihaigalos/mkdocs-breadcrumbs-plugin,mkdocs-breadcrumbs-plugin,['plugin'],nav-pages,{},13.0,13.0,5.0,https://pypi.org/project/mkdocs-breadcrumbs-plugin,,,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
172,mkdocs-navsorted-plugin,navsorted,idlesign/mkdocs-navsorted-plugin,mkdocs-navsorted-plugin,['plugin'],nav-pages,{},,,,https://pypi.org/project/mkdocs-navsorted-plugin,228.0,228.0,mkdocs plugin to get nav sorted without yml directives.,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
173,mkdocs-code-validator,code-validator,oprypin/mkdocs-code-validator,mkdocs-code-validator,['plugin'],quality,{},21.0,21.0,,https://pypi.org/project/mkdocs-code-validator,,,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
174,MkDocs-Test,test,fralau/mkdocs-test,,['plugin'],quality,{},,,3.0,,,,,2,True,3.0,,,,,MIT,,,,,,,,,,,,,,,mkdocs-test,
